YEAR,CYCLE,PLOT,REP,TRT,ROTATION,CURRENT,CURRENT_SIMPLE,PREVIOUS,PREVIOUS_SIMPLE,PREV_GROUP,WINTER_PLANT,NSPECIES,CROP_DIV,LENGTH,AGE,YIELD_KGHA
2001,1,101,1,2,CSfSwS,Sun,Sun,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,1966
2001,1,102,1,13,CCaWwS,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3688
2001,1,103,1,16,CCaWwS,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,929
2001,1,104,1,29,COWwS,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,4193
2001,1,105,1,28,CSSwP,Pea,Pea,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,2968
2001,1,107,1,24,CCSSw,Swheat,Wheat,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,3572
2001,1,108,1,30,COWwS,Oat,Oat,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3644
2001,1,109,1,14,CCaWwS,Can,Can,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,754
2001,1,110,1,20,CSSwSf,Sun,Sun,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,2861
2001,1,112,1,23,CCSSw,Soy,Soy,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,983
2001,1,113,1,34,CS,Soy,Soy,Swheat,Wheat,C3,FALSE,2,0.693147181,2,1,699
2001,1,114,1,7,CSSwS,Swheat,Wheat,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,3782
2001,1,115,1,22,CCSSw,Corn,Corn,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,4385
2001,1,117,1,12,CPWwS,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,1004
2001,1,118,1,26,CSSwP,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,1188
2001,1,119,1,21,CCSSw,Corn,Corn,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,3557
2001,1,120,1,11,CPWwS,Wwheat,Wheat,Swheat,Wheat,C3,TRUE,4,1.386294361,4,1,4683
2001,1,121,1,15,CCaWwS,Wwheat,Wheat,Swheat,Wheat,C3,TRUE,4,1.386294361,4,1,3931
2001,1,122,1,19,CSSwSf,Swheat,Wheat,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3878
2001,1,123,1,9,CPWwS,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3170
2001,1,124,1,18,CSSwSf,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,565
2001,1,125,1,10,CPWwS,Pea,Pea,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3196
2001,1,126,1,3,CSfSwS,Swheat,Wheat,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3720
2001,1,127,1,6,CSSwS,Soy,Soy,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,903
2001,1,128,1,4,CSfSwS,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,380
2001,1,129,1,32,COWwS,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,770
2001,1,130,1,27,CSSwP,Swheat,Wheat,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3940
2001,1,131,1,25,CSSwP,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,3978
2001,1,132,1,31,COWwS,Wwheat,Wheat,Swheat,Wheat,C3,TRUE,4,1.386294361,4,1,4628
2001,1,133,1,33,CS,Corn,Corn,Swheat,Wheat,C3,FALSE,2,0.693147181,2,1,3249
2001,1,134,1,5,CSSwS,Corn,Corn,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,4457
2001,1,135,1,8,CSSwS,Soy,Soy,Swheat,Wheat,C3,FALSE,3,1.039720771,4,1,757
2001,1,136,1,17,CSSwSf,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,5380
2001,1,137,1,1,CSfSwS,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,4303
2001,1,202,2,2,CSfSwS,Sun,Sun,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,2300
2001,1,203,2,4,CSfSwS,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,584
2001,1,204,2,31,COWwS,Wwheat,Wheat,Swheat,Wheat,C3,TRUE,4,1.386294361,4,1,4807
2001,1,205,2,18,CSSwSf,Soy,Soy,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,352
2001,1,206,2,11,CPWwS,Wwheat,Wheat,Swheat,Wheat,C3,TRUE,4,1.386294361,4,1,4289
2001,1,207,2,29,COWwS,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,4919
2001,1,208,2,14,CCaWwS,Can,Can,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,558
2001,1,209,2,17,CSSwSf,Corn,Corn,Swheat,Wheat,C3,FALSE,4,1.386294361,4,1,4048
